id,name,price,category
1,Apple iPhone 11 (64GB),"49,900",apple
3,"Redmi 9A (Nature Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery","6,999",redmi
5,Redmi 9 Power (Mighty Black 4GB RAM 64GB Storage) - 6000mAh Battery |FHD+ Screen | 48MP Quad Camera ,"11,499",redmi
6,"Redmi 9A (Midnight Black, 2GB RAM, 32GB Storage) | 2GHz Octa-Core Helio G25 Processor","6,999",redmi
7,"OPPO A31 (Fantasy White, 6GB RAM, 128GB Storage) ","12,990",oppo
8,"realme C11 (2021) (Cool Blue, 2GB RAM, 32GB Storage) ","7,299",realme
9,"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 2.3GHz Mediatek Helio G35 Octa core Processor","9,499",redmi
10,Redmi 9A (Sea Blue 2GB RAM 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery,"6,999",redmi
11,"Samsung Galaxy M21 2021 Edition (Charcoal black , 6GB RAM, 128GB Storage) | FHD+ sAMOLED | ","14,999",samsung
12,"Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","11,499",samsung
13,"Samsung Galaxy M12 (Blue,6GB RAM, 128GB Storage) ","13,499",samsung
14,"realme C11 (2021) (Cool Grey, 2GB RAM, 32GB Storage) ","7,299",realme
15,"Samsung Galaxy M31 (Ocean Blue, 8GB RAM, 128GB Storage) ","16,999",samsung
16,"OPPO A31 (Mystery Black, 6GB RAM, 128GB Storage) ","12,990",oppo
17,"Apple iPhone XR, 64GB, Red - Fully Unlocked (128GB Storage)","29,999",apple
18,"realme C11 (2021) (Cool Blue, 4GB RAM+64GB Storage) ","8,799",realme
19,"Samsung Galaxy M21 2021 Edition (Arctic Blue, 4GB RAM, 64GB Storage) | FHD+ sAMOLED | ","12,999",samsung
20,"Nokia G20 Smartphone, Dual SIM 4G, 4GB RAM/64GB Storage, 48MP Quad Camera with 6.5” (16.51 cm) Screen | Silver","12,990",nokia
21,"Samsung Galaxy S20 FE 5G (Cloud Navy, 8GB RAM, 128GB Storage)","50,999",samsung
22,"Samsung Galaxy M12 (White,6GB RAM, 128GB Storage) ","13,499",samsung
23,Apple iPhone 11 (64GB) ,"49,900",apple
24,Apple iPhone 12 Mini (64GB) - Black,"56,999",apple
25,"Redmi 9A (Nature Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery","6,999",redmi
26,"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage) | 2.3GHz Mediatek Helio G35 Octa core Processor","9,499",redmi
27,Redmi 9 Power (Mighty Black 4GB RAM 64GB Storage) - 6000mAh Battery |FHD+ Screen | 48MP Quad Camera ,"11,499",redmi
28,"Redmi 9A (Midnight Black, 2GB RAM, 32GB Storage) | 2GHz Octa-Core Helio G25 Processor","6,999",redmi
29,"OPPO A31 (Fantasy White, 6GB RAM, 128GB Storage) ","12,990",oppo
30,"realme C11 (2021) (Cool Blue, 2GB RAM, 32GB Storage) ","7,299",realme
31,"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 2.3GHz Mediatek Helio G35 Octa core Processor","9,499",redmi
32,Redmi 9A (Sea Blue 2GB RAM 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery,"6,999",redmi
33,"Samsung Galaxy M21 2021 Edition (Charcoal black , 6GB RAM, 128GB Storage) | FHD+ sAMOLED | ","14,999",samsung
34,"Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","11,499",samsung
35,"Samsung Galaxy M12 (Blue,6GB RAM, 128GB Storage) ","13,499",samsung
36,"realme C11 (2021) (Cool Grey, 2GB RAM, 32GB Storage) ","7,299",realme
